Text,Ideation
Being stuck at home is bad enough but to be stuck at home with trash wifi?? I’m ready to jump off a cliff,0
"Don’t let these times take your eyes off of your big picture. Stay sharp, stay engaged. When this is all over, be ready to jump back in like you never left!",0
"my dad woke me and told me my exams were cancelled and i was ready to jump from happiness, then he said april fools,,, we clowning today boys",0
I'm ready to jump into another hot bath!!,0
I hate watching racist shit. I be ready to jump through the screen,0
no suicidal shit but I’m kinda tired of living..,0
I wanna die. I’m tired of living this life. I wish I had never been born at all.,2
tired of living this boring and sad life.,1
I wanna die. I’m tired of living this life. ,2
i’m so tired of living the life i live.,1
i’m actually rly tired of living this life,1
So who's scared of death but tired of living??,0
"I don’t want to sound suicidal or anything, but I’m kinda tired of living",0
I’m so tired of living in this ghetto ass neighborhood that people feel the need to just slash people’s tires for no reason,0
"just end me. i’m fucking tired, so so tired of living.",1
Man I’m really tired of living in a country where being black is a crime in itself. Who the fuck still calls us colored?,0
It scares me. I am tired of living in a country that doesn't value it's people.,0
I’m tired of living with retards.,0
im tired of living in this country,0
So tired of living,1
i’m so tired. tired of living.,1
please just end me tonight,1
i’m just tired of living the same day over and over ...,0
Im tired of depression Im tired of anxiety Im tired of lies Im tired of drama Im tired of living Im tired of quarantine Im so tired of people being rude for no reason I just wanna feel normal for every single day. I just wanna be happy,0
Sick and tired of living in Chico by myself lol my whole family went to the lake yesterday,0
tired of living honestly,1
The day I am tired of cheese is the day I am tired of living,0
tired of living like this. ,1
"I’m not suicidal, I’m just tired of living.",0
very tired of living the same day over and over,0
I’m so fucking tired of living such a mundane life.,1
i just slept for 17 hours. i’m tired of living.,1
"Dear God The person reading this post is tired of living an unhappy life, please do something",0
i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living i'm tired of living,1
"I’m so tired of the trump family. I’m tired of hearing about them, I’m tired of seeing their faces, I’m tired of living with the consequences of their selfishness.",0
"I’m tired of living in the bay, I wanna leave.",0
"I’m tired of living as a broke babe, I’m ready for the good life",0
sick and tired of living,1
President Trump retweeted a video of me out at a Florida bar It’s gonna cause a stir I filmed that because I’m sick of the media fear mongering I’m tired of living in isolation And I’m angry that our rights are being infringed This was my protest and this was my return to normal,0
"Are you tired of living in fear and being misinformed? Try turning off the television, trust me, it works!",0
We are tired of living in a world where institutions have no regard for women! Here is our statement on the cases of Amukwelele and Gertze. PLEASE HELP US SIGN & SHARE THIS PETITION TO HAVE THEM SUSPENDED FROM THE INSTITUTIONS THEY REPRESENT:,0
So tired of living in this dogshit version of America.,0
tired of everything tired of quarantine tired of living like this just wanna go innawoods with my fatass chicken and have tea with the racist antelope,0
America is a dumpster full of shit. I'm tired of living in it.,0
i want to sleep forever i’m so tired of living,1
"damn, i’m tired of living with hurt",1
I am tired of living a digital life.,0
I am cleaning my room and I just found my suicide note that I wrote 1 year ago...,0
I’m so tired of living in a country that doesn’t value human life.,0
i’m so tired of living in a world where so many people are so unaccepting of others. we are all existing on a floating rock in space and the chances of us being born are so slim. why would you intentionally torment and harm other people’s lives just cause they are different,0
Who is tired of living under tyrannical governors?,0
"Sometimes I wish this life wasn't mine. I don't wanna be brave or courageous or a warrior anymore. I'm tired of fighting. I'm tired of living day by day and just barely surviving. Was it worth all the trauma I ended up having after fighting so hard to be free? Idk, Im just tired.",0
Tired of living this boring and sad life.,1
I am honestly tired of living the same day over and over.,0
I’m so fucking tired of living through major historical events.,0
"We should imprison criminals, not just disbar them. I’m tired of living in GestapoLand.",0
My suicide note's gonna read: I tried.,1
"i’m not suicidal, i’m just tired of living.",0
im tired of living like this,1
Can everybody pray tonight? I'm so tired of living like this I'm so jaded,1
idk bro. i’m kinda tired of living,1
Tired of living the same day on repeat,0
i am so tired of living the same day over and over and over again,0
"I'm scared to die, but I'm tired of living.",1
im so tired of living in such a pathetic world,1
"polished my dreams, opened the door of my mind, spoke to my heart and I’m still tired of living.",1
I really want to visit Nigeria. Make friends out there and check out the really cool alte culture among Nigerian youths. I’m tired of living in the west honestly. I’m seriously thinking about moving to an African country for a year or so,0
I should start crushing on people that actually exist. I'm tired of living a fantasy,0
so tired of living 2 diff identities as a visibly muslim woman...why tf am i posting iced coffee on my close friends ???? the internet be giving me brain damage bro,0
honestly tired of living. let me die,2
Im tired of living within an inherently failing system that offers me no chance of success,0
I can’t keep going to sleep this late. I’m tired of living like this.,0
i am so tired of living in a world where housing isn’t guaranteed.,0
I'm tired of living in a shithole country.,0
"Tired of living simple, tired of living basic.",0
depression tells me every day that this world would be much better off without me,1
you guys would be better off without me,1
"i honestly don’t know at this point... i’m so sorry to disappoint you all, i really don’t know what my reasons are to be feeling like this and i don’t want to make you all worry about me without a reason. you are all better off without me and honestly i just need a break.",0
maybe you all would be better off without me here?? probably.,1
Looking for someone to proofread my suicide note.,1
starting to think you’re better off without me,0
I feel like everyone better off without me.,1
Everyone is better off without me. Why do I keep forgetting it?,1
I am not gonna force nobody to be in my life. If it seems like your doing better off without me why am I gonna stress over it!,0
People will be better off without me,1
i dont wanna tell you you're better off without me......... because everything about you is speeding up my heartbeat,0
"i hate the way you’re better off without me but now i’m closing the door because you were so good to me. i pray you get all you want out of life. & though it’ll be hard, I’m letting you go now.  you’re free, be happy my love. forever.",0
I got in two accidents last year and now my car insurance is $478 a month.  This is My Suicide Note,0
"You deserve better, better, better than me Might be what you want, but I'm not what you need You're better, better than you even realize You deserve better, better, better than me Might be what you want, but I want you to see You're better off without me in your life",0
She’s better off without me.,0
“It just sucks because I pushed you away but I'm glad that you got away from me.. and I know youre better off without me you know”,0
everyone would be better off without me around,1
I know everyone is happier and better off without me. I know everyone is happier and better off without me. I know everyone is happier and better off without me.,1
i look outside and see a whole world better off without me in it,1
league of legends players loss one ranked game and start drafting their suicide note.,0
increasingly feeling like there doesn't seem to be a way out of the closet that doesn't end up hurting anyone and now wondering if my family would be better off without me,1
I hope you're better off without me.,0
she’s better off without me. she’s better off without me. she’s better off without me.,0
You’re better off without me and that’s a tough pill to swallow,0
it’s very sad to realize that she’s better off without me and I should just end it,0
I started thinking that this world would be better off without me.,1
this life.. this fucking story of life hahaha nothing but a suicide note,1
hate to think you’re better off without me,0
Going back to work...This is my suicide note.,0
Going back to work… I wanna die.,0
I look outside and see a whole world Better off without me in it trying to transform it,1
"life is better off without me, honestly",1
"that ugly broad asked minors for nudes, faked a suicide attempt, and blocked everyone that brought it up! THE OG WEIRDO",0
"Joe Biden is a Racist not only for his recent remarks from his Past History. The hundred thousand Deaths in the USA is inaccurate, what percentage was heart attacks? what percentage was cancer? what percentage was Diabetes? what percentage was Suicide? Etc. NY TIMES FAKE NEWS.",0
"People in Alaska are turning to Heroin and suicide. Someone just told me they know three pain patients taken off meds turned to H. Others are doing the ultimate, death. That is their goal. The CDC is not a government org. Like so many other 3 letter agencies.",0
Why an international player spoiled his goodwill and reputation due to dirty politics and got a black spot on her reputation due suicide of an honest police officer.,0
Should i do half and half? So 50 hours for Cancer and 50 hours for mental health and suicide prevention,0
And got to listen Dazai singing double suicide song in the basement prison I had to admit this guy is good at it,0
Needs to be done. She’s prolly would suicide herself tho. So stick her in a padded room with a nice huggy jacket!!!,0
"Oh yes, that’s why the suicide rate doesn’t change barely at all between patients pre and post op... And their feelings are invalid, especially when they’re the exact opposite of when basic science tells them. There’s a reason it’s call a mental illness.",0
"Idk, im feeling suicidal",1
My suicide note Is gonna have so many chapters,1
So... Body-Shaming men is funny now? Sorry. I can’t keep up. Look up some suicide statistics regarding men and get back to me.,0
started deep cleaning at 2 am and found my suicide note from last year lol,0
"I’m just glad that I haven’t been using twitter recently and I didn’t see it. But from what I have heard, they’re horrible. Gore and suicide is not a joke.",0
I found my suicide note 2yrs ago...,0
"God forbid... the social media impact that she already said was ruining her, had no insight that they could have caused a suicide from trolling. Those things need to stop.",0
"Cops are fucking terrorists. If you’re not angry, you’re not paying attention. im gonna suicide",0
My suicide note will be written with glitter gel pens,1
"i had a stock worth a dollar and sold came out negative, one month later it’s worth 15... this tweet is my suicide note",0
I quite clearly stated if anyone was to stand in front of a tractor they would be committing suicide. Can I dumb that anymore for you? Fucking commies.,0
Is this another subliminal message of someone’s “suicide” that’s getting ready to happen? Like the weird post of a glove on Route 66 and you talking about roadkill on 66 before Issac Kappy supposedly committed suicide by falling off the bridge and getting ran over like roadkill?,0
to me your love is suicidal,0
Baba when is mass suicide?,0
"Thank you for the motivation. I battle with depression I was on a suicide hotline, and nobody thought I can get as far as I am. I thank those people who gave me a chance, if people didn’t tell me to go to suicide hotline, I wouldn’t be here.",0
Telling kids their emotions are invalid and incorrect leads to suicide. Love and acceptance never leads to suicide.,0
"The human species? VANESSA (clearing throat) Ahem! BARRY Oh. So, if there’s no more pollination, it could all just go south here, couldn’t it? VANESSA And I know this is also partly my fault. Barry takes a long SIGH. BARRY How about a suicide pact? VANESSA (not sure if he’s...",0
increasing rates of depression anxiety and even suicide. There's little chance for a lot of folks to prepare for or even process all that has happened in terms of job losses as a complete uprooting of every day life and relationships.,0
My periods cramps make me suicidal,0
Twitter seems hellbent on leveraging its ambiguous position as a platform-cum-publisher ever more aggressively until the matter comes to a legal head. Is this some kind of suicide mission to go out in a blaze of glory?,0
suicide is only thing gonna gratify this. can’t you hear my please. I’m down on my knees,2
"I knew one. He was ostracized by everyone he worked with. He was the only “good” cop in the city. Sadly, he committed suicide after 2 years as a police officer.",0
"If you're thinking about doing it..
suicide doesn't stop the pain. You’re only moving it. Lives that you're ruining",0
"Why should they care? We all know they don't! If smokers get depressed and commit suicide because they can't afford to pay R135 for a packet of smokes, they will just add those numbers to the covid-19 deaths to scare people more.",0
"I always find it funny and interesting how so many people die every day from so many causes from suicide to road accidents yet people only get angry, frustrated and ""care"" when its posted on social media.

Those likes am I right? XD",0
bro i KNEW i was gay the second suicide squad came out in 2016 and i saw harley quinn 👀,0
"i just.. literally.. admitted to my mother that I have had suicidal thoughts and that I have harmed myself before and she literally said ""you gotta do your schoolwork"". parents suck",0
"If that is the way of seeing things, then it's war, and a war to the knife at that. The strong do what they will, and the weak suffer what they must.

Or, if the Palestinians wanted the moral high ground they shouldn't be doing suicide bombings or anything to do with HAMAS.",0
There are services available for those who are feeling suicidal. I have been out of work since 3/26 and have been waiting for unemployment while suffering from this Virus. Started feeling better 5 days ago. Been down since 3/26. There are much worse things in life. I know.,0
It's like are you suicidal or do just dye your hair and want attention,0
#JailDerekChauvinNow and put him on a suicide watch.,0
DOES TWT REALLY THINK THISLL HELP ANYONE THATS GENUINELY SUICIDAL,0
"While true, it doesn’t necessarily mean everyone is going to be affected the same way. While we may be saving some people from covid, many people who were on the verge of suicide might get pushed to the edge and end up doing it. Plus all of the small businesses having trouble -",0
"I never made a thread but this has been bugging me ever since middle school and I think I can finally speak on it and that is this statement 

“Suicide is a permanent solution to a temporary problem”",0
I think they were referring to the intern who supposedly committed suicide and the boss of the company that is refusing to give a refund.,0
"The two men responsible were arrested, tried, and convicted. Sadly, in 1992, at a time when it seemed likely the criminals would receive a new trial, Becky Thomson (who by then had a daughter from a former marriage) committed suicide at the bridge where her sister died.",0
"About 800,000 people die from suicide every year so i think it’s fucking disgusting that certain people have decided to stoop as low as using such a pressing societal issue for a bit of emotional blackmail over a stupid TV show
It’s honestly just unacceptable man",0
this quarantine is getting harder for me. I feel bad for whats happening around the world. I feel upset for the number of people that died. I miss my best friend. Its just that being a suicidal and overthinker this quarantine is getting really really hard for my mental health.,1
"people that lost their jobs and can’t feed their families, for those that committed suicide, for those that got victims of domestic violence, and for the most that are gonna get their immunity lowered from the lack of sun, beach, sports and any regular activities they used to do",0
"Any suicide is sad, but being a shitty person and bullying others for their sexuality should always be called out. You cant hide behind mental health when your own actions were harming others through no fault of their own.",0
Why I'm in denial that they tried the suicidal session,0
The suicide was unfortunate. Societal pressure and a bad contract,0
"My state’s death rate is in line with other years, although suicide and homicide has gone up.
Believe whomever you want, but the fear porn is off the charts.",0
I will have a higher chance of survival with Whitmer. She isn't known to have people who have information on her to commit suicide.,0
Can never say some suicidal shit to me. “I wan jump off a window” then my dumb ass gonna say “can I join?”,0
"Sometimes the people that are hurting the most hide it from everyone else, was she taking any medicine?  Sometimes, medications can cause suicidal thoughts. ",0
suicide is high among trans people because of how poorly they are treated in today's society and throughout history. it's ignorant people like you that prevent trans people from feeling human and comfortable with being who they truly are,0
Let’s go when it’s open. It's suicidal to go now.,0
"I know a thing or two about a hard time on this job, including a friend that I deployed overseas with only to come home to see him murdered in an ambush and a couple to suicide. You’re feeling shock that someone you thought you knew could be this way. But he is.",0
"Dont try suicide, nobody cares",0
when you know you don’t matter to like more than half your friends so every day you constantly hide a ton of pain so that people don’t think you’re like a bitch because in 5th grade you made a suicide attempt and everyone spread rumors abt you that made you hate yourself more :),1
"Because of the bad things happened in my life, I tried to commit suicide a multiple times but when I first heard of BTS at year 2017, I suddenly felt happiness and hope. Thats why my love and affection for kpop became bigger as the years go by. Currently I an loving myself..",0
Wanna see nirvana but don’t wanna die,0
who will tell us to be okay when we all wanna die on 3ams?,0
mama i don't wanna die,0
i sometimes wish I had never been born AT ALL,1
i wanna die. I have been eating strawberries all my life. omg,0
how do people listen to 100 gecs and not wanna die,0
hate this time of the month. i just wanna die,0
jokes on me my life is falling apart and i really wanna die but bts would be so disappointed so im holding up all my shit together with duct tape,1
"i don’t wanna be alive, i just wanna die today.",2
"been having weird dreams lately, and I don’t like them. I wanna die",0
cleaning the old apartment all day. i wanna die,0
"I wanna die, i wanna sleep forever.",2
all i wanna do is live and die with you.,0
work tomorrow. kinda wanna die,0
I hate throwing up. I wanna die,0
2 periods now without birth control has me so emotional. I wanna fucking die,0
I really wanna die tonight.,2
my right ear is clogged and i wanna DIE,0
The smell of royal farms makes me wanna die. 🤮🤮.,0
Sometimes I just wanna die but my dreams stopping me to do it,1
I’m getting my wisdom teeth out in two days. I wanna die,0
I'm reading this watt pad book and this girl told her daddy that she had oral sex.. who the fuck say that to their parent. are you dumb or you wanna die????,0
I don't know what should I do with this miserable life..l just wanna die is this too much to ask for? ,2
my face is literally deformed from this pimple i look monstrous i wanna die,0
"Right, I don’t wanna die yet 🥺",0
I WANNA DIE,2
My heart feels so strange and it makes me wanna die,0
I just wanna die.,2
I hate when people tell me what to do. Someone just told me to stay safe and now i wanna kms just to show them whos in fucking charge.,1
I bought two crop tops bc I lost weight but I haven’t lost for two days and deadass I wanna kms,0
I still wanna kms but... less?,1
I really wanna kms,2
APPARENTLY I MIGHT HAVE TO GO BACK TO SCHOOL ON THE 15TH I WANNA KMS,0
"Cut my hair, looks bad, now I wanna KMS",0
imagine being trapped in AMERICA. I wanna kms,0
Can my stepdad please not yell at me and tell me I’m doing things wrong all the time it’s really making me wanna kms again 🥴🥴,1
I would rather be dead than become a priest. ,0
I would rather be dead in Arizona than alive in Mississippi. ,0
I would rather be dead than not have principles,0
I would rather be dead,1
i just wanna sleep forever. honestly fuck this,1
Maybe I don’t want to heal. maybe I just want to sleep forever,1
I'm not going to sleep FOREVER,0
Don't even have the energy to hurt myself today. Just wanna sleep forever.,1
ima sleep forever BYE no one talk to me,1
"If it wasn't for you, I could sleep forever. But I'm not mad.",0
had a dream all my friends forgot about me and hate me and now i think i’m going to sleep forever,0
Usually when I'm tired i just sleep. But this tired hits different feel like i just want to sleep forever,0
getting out of bed sucks. i just wanna sleep forever,0
"Damn Butta, they can't sleep forever without a mf funeral. They're DEAD not YOU",0
I wanna sleep forever,1
I just wanna sleep forever is that so much to ask for,1
i’m so tired i wanna sleep forever,0
I completed every constellation in sky ..I can sleep forever now,0
I am so fucking sick and tired of being alive. I just wanna sleep forever.,1
how im feeling now: i want to sleep forever!,1
all this drama is so fucking stressful. I just wanna sleep forever,1
And suddenly nothing even mattered anymore All i wanted was to sleep forever.,1
I wish to sleep forever and not wake up,1
i just wanna sleep forever....,1
I quit. I'm so done with everything and everyone. No purpose to keep going. I just want it to end here and now.,2
This is such a bad email to wake up to how am I supposed to go on with my day now I wanna sleep forever now,0
i just....i just want to sleep forever,1
Well it’s 2pm and that means my degree is officially finished! Time to sleep forever,0
"hear me out, when you sleep your problems go away temporarily, but if i sleep forever, I will never have problems",1
for my next trick i will cry and sleep forever,1
"I should be making art, but I’m so tired from moving and existing that I just wanna sleep forever",0
no suicidal shit but i just wanna sleep forever and live in my dreams,0
Don't be alarmed everyone. I only look like I'm so exhausted. I wanna sleep forever because I'm so exhausted I wanna sleep forever.,0
"No suicidal shit but let me sleep forever, shit feel good",0
I AM SO TIRED SO TIRED I JUST WANNA SLEEP FOREVER AND FEEL THE FUCKING SUN ON MY FACE AT THE BEACH WHEN THE FUCK IS QUARANTINE OVER BECAUSE I JUST WANNA SEE MY FRIENDS AND HUG THEM AND FILL MY BRAIN WITH SEROTONIN BCZ THIS IS FUCKING LAME AND IM TIRED AND I MISS THE STREETS,1
I feel so unloved and sad and I wanna sleep forever,1
I wanna fucking sleep forever,1
"Sleeping is just amazing. you’re dead and alive, in your own world, its so relaxing, its the best escape....man I wish I can sleep forever",0
“I tremble for my country when I reflect that God is just; that his justice cannot sleep forever...” - Thomas Jefferson,0
I have no motivation today... just want to curl up in a ball and just sleep forever,0
Ah fk i wanna just sleep forever,1
can we do a reverse sleeping beauty where you kiss me and then I can go sleep forever,0
"i had a dream that i was on a road trip with the twins last night and we went on road trips, went on so many adventures and we all became best friends ugh can i sleep forever",0
There will be a day when you will wake up for the last time and sleep forever...,0
I’m tired I’m confused I’m alone... I want to sleep forever,1
No cap my hearts broken and I just want to sleep forever,1
"I want to go back to sleep forever after waking up to this news. Every time something like this happens, it feels necessary to explain the violence of settler colonialism, illegal settlements, ongoing erasure of Palestinians. But, how can you look at this face and not just KNOW?",0
"Horrible feeling being totally and utterly drained, having no motivation at all with anything I just want to sleep forever",1
no suicidal shit but do you ever just wanna sleep forever?,0
"Im so deeply deeply tired I just want to get into my bed and sleep forever. Like I don’t need life, money, food or music. I need sleep.",0
"I want to watch Bernie be elected, watch Medicare for All be passed, watch the Green New Deal get passed and then I want to go to sleep forever. My almost 4 decades of pain aren't going to heal. I will probably die alone. I just hope I leave behind a world worth living in.",0
I want to sleep forever because my body is exhausted but my mind is running 1000mph and won’t let me sleep.,0
"no one is in love with me!! idk wtf i’m doing with my life, wanna sleep forever.",1
"i just want to sleep forever, i hate being in reality. it sucks",1
"If I could sleep forever to take away what Ive been feeling, I would.",1
"I love my team, I love @ewarren and I love Council Bluffs. Almost 1,200 people turned out for our town hall and it was such an honor to organize it. Now it’s time to eat chicken strips and ranch and sleep forever #thR1ving #Region1GetsItDone",0
My brain decided I didn’t need sleep in the hotel room. Now I’m at the airport and it would like me to sleep forever. This has gone very wrong for me.,0
Black Folks really have to take law into their own hands with this one and show these Bastards some example no jail but execute him as well we can’t be killed like we not worth living!!,0
The unexamined life is not worth living. ,0
do you ever feels like you're not worth living?,0
"i sometimes think the life i live is not worth living, even though im the happiest i could ever be, my life now is one i can be proud of even though there’s definitely room for improvement i think im just rambling at this point but if you actually read this thank you",0
why i do myself like this why the fuck my brain convince me my life not worth living,1
"You have to be your own person, otherwise life is not worth living be happy!",0
why live a life not worth living...,1
Life is not fair… fuck this world. Fuck the rich… you are not worth living,0
"We need to get rid of the idea that someone has to be suicidal in order to get help. You shouldn’t have to feel the lowest of the low, feel like life is not worth living in order to get help. Help should be given BEFORE that point is reached.",0
"“I know you can't live on hope alone; but without hope, life is not worth living. So you, and you and you: you got to give them hope; you got to give them hope.”",0
"This is who I was before ME/CFS stole my life. The amount of pain this loss has given me, nearly caused me to take my life. Please someone find us a cure. This non life is unbearable. It’s not worth living",1
"If you feel life's not worth living, please contact the National Suicide Prevention Lifeline on Twitter 
@800273TALK or call 1-800-273-TALK (8255). It's free.",0
This world is not worth living in if we can not protect our children - our children are precious.,0
"this was my senior year. In a week I had lost everything. LITERALLY EVERYTHING. I can’t explain how in much detail, but I will say that my life seemed to be not worth living.",1
"if danny devito gets covid-19 because you all didnt stay inside im about to throw hands, life is not worth living without our man",0
A day without music is a day not worth living.,0
my life is not worth living anymore,1
"Corps member commits suicide, says life not worth living",0
"Thanks so much, @ezraklein for giving a platform to someone who quite literally thinks the lives of disabled people are not worth living.",0
fuck this shit life not worth living no more,1
"“A soft, easy life is not worth living...We must dare to be great; and we must realize that greatness is the fruit of toil and sacrifice and high courage…” - Theodore Roosevelt, 1898",0
Had enough today life is not worth living,1
"But we ARE NOT DOOMED. We're only doomed if you give up; we're only doomed if you say ""life's not worth living if we have to change how we live.” Life IS worth changing for.",0
"After losing someone that you love deeply,life is not worth living anymore that everything started to change",0
"REMEMBER THIS: 
If you feel like life is not worth living, reach out for help. 
You are not alone. 
Do you feel like life is not worth living? 
If you sometimes feel that life seems so hard that it is no longer worth living.....

send a DM now.",0
"This is the hell we live!!  Surviving 1 day at a time. Family broken. Unbearable stress, living a never ending trauma, life not worth living, no future. All because #police did not conduct a thorough fair & impartial investigation as is their duty.  When will it all end?",0
"If you feel like life is not worth living, reach out for help. You are not alone. Help is available",0
"I am leaving India latest by before Diwali 2020. 
India is not worth living in when DUFFERS & BEGGARS are ruling the country",0
"Once abortion and euthanasia are allowed, a principal is established, namely: ""There are some lives not worth living."" Once this principle is established, the stage is set for the state to end any life that becomes expensive to prolong or  which they decide should end.",0
I’m fucking wanna die. it's not worth living anymore.,2
We are gathered here today to pay homage and remember the lives of “the workers on Jeffry Epstein’s Island “ who all decided life was not worth living anymore.,0
life’s not worth living if you’re not taking risks,0
Life is not worth living if you're miserable all the time.,0
"If you are not doing the things that you love, then your life is not worth living. What are you here for?",0
I’m on day 3 without a dog around and honestly it’s not worth living like this,1
Abortion advocates say Michael’s life is not worth living — that’s nothing more than eugenics & ableism!,0
why i do myself like this why the fuck my brain convince me my life not worth living,1
"Mainland India, you can't do shit for us NE indigenous folks, but at the very least, can you stop this vulgar display of sheer neglect and callousness by the govt. 

Outrage! If that means we all die of Covid-19 so be it. This country is not worth living in if we allow this.",0
"I'm legit done. I'm too damn nice & it keeps biting me in the ass. I have lost over $200 in the past month or so. Money that I NEEDED. People can't be trusted. I'm just gonna be a recluse for the rest of my miserable, horrible, not worth living life.",1
Because i just feel like my life not worth living if we all not eating and experiencing equal justice,1
hey everyone i thought i would let you know i am getting tested for diabetes tomorrow i really hope i dont have it or life is not worth living if i do have it,0
"You screaming liberal scum are not worth living in this a Free country! I know many of you, just follow Fools and Socialism!",0
Buddy you need to join ISISI. They believe in Caliphate. They killed numerous Yezidi because alaah is supreme and the one who does folow kuran is not worth living. Now that is what every Muslim believes.,0
Living life. It's not worth living without freedom. If you've been brainwashed by the lame stream you're choosing to live in fear. Young people especially shouldn't be afraid. It's often contracted by your age group with NO symptoms.,0
Yes drop anyone who doesn’t want to question and seek truth. Not worth living in delusion,0
"“I know you can't live on hope alone; but without hope, life is not worth living. So you, and you and you: you got to give them hope; you got to give them hope.” ?",0
"it's not life that sucks, people make life not worth living",0
reading my suicide note reminds me of how dark and depressing I am.,1
Life is not fair...fuck this world. Fuck the rich… you are not worth living,0
"Ha! I don't think I saw a pic from Daytona in particular, but saw others, and I can picture what you are referring to. Life is not worth living without liberties for some. What can we do, lol.",0
And such a life is not worth living. Being scared of inviting death every moment of life is not called living.,0
existence is pain and life is not worth living good night,1
It is clearly shows that the Sinhalese people are not cultured enough. They are not worth living in this world.,0
"I simply wish to show you new things. Even if you disagree, a life without exploration of ideas is a life not worth living.",0
Please never wake up again,1
I hope I die in my sleep. Just go to sleep one night and never wake up again. It just sounds like a good way to go,1
"wish you never see the light of the day, i wish you never wake up, like these husband & wife you have massacred today.",0
I feel like twitter needs a thirst trap filter.. pretty sure quarantine is causing everyones main and alt time lines to merge... and we will never wake up!,0
every morning i woke up I hope I never wake up,1
I’m just gonna dig my grave and never wake up,1
I just wanna go to sleep and never wake up,1
Don’t ever get black out curtains you will never wake up ,0
Kinda just want to sleep and never wake up again,1
"When I fall asleep tonight, I hope I never wake up.",1
so sleepy i wish i could sleep forever and never wake up,0
I cried so much today that i just wanna sleep and never wake up,1
Just want to sleep and never wake up again. ,1
God I wish I could sleep and never wake up my dreams are everything,1
"I overdose to cover pain. Choking on sorrow. I was left here. Cover up my true feelings. You can’t me get all this. I just wanna close my eyes and never wake up. And fuck it if I die, I don’t think you understand, it’s obvious to me that was the plan",1
Someday I will fall asleep and never wake up again.,0
"Kinda wanna just go to sleep and never wake up again. I'm tired of constantly dealing with trauma over and over again. Its so fucking exhausting, bro. I can barely function most days.",1
"Nothing I do, or no matter how much I defend myself, he will never wake up and decide to treat me with the respect or human decency I deserve.",0
Kids are fun because they're up all night and you're exhausted then they never wake up until night when you're exhausted,0
"just remember your education, career, & money will never wake up one day and decide to leave you",0
"""Try to imagine what it will be like to go to sleep and never wake up… now try to imagine what it was like to wake up having never gone to sleep.”",0
People are easily controlled and most will never wake up. No need to insult or look down on them for this. The goal is to reach those who are ready and willing to awaken.,0
i'm watching a dream I will never wake up from ,0
